predicted_id,New_Audit_id,Audit_ID,Facility_ID,Status,Auditor1,Auditor2,Auditor3,Au date,Manuf,Model,TPS,Algorithm,Matched,k_Q Fac.,k_Q ACDS,Array,S.N.,audit,6_Daily_Output,10_Daily_Output,15_Daily_Output,18_Daily_Output,6FFF_Daily_Output,10FFF_Daily_Output,"6__TPR_20,10","10__TPR_20,10","15__TPR_20,10","18__TPR_20,10","6FFF__TPR_20,10","10FFF__TPR_20,10",version,corr.,Alg.,Rev.,Metric,Case,Depth,Energy,Energy_FFF,Gantry,Mode,Point type,Point Value
289713_1_PxVar|10|15|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.01719901719901727
289713_1_PxVar|10|8|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,-0.01200274348422501
289713_1_MaxLocDiff|10|15|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,15,6,0,0,1,Worst Point +ve,-0.017
289713_1_MaxLocDiff|10|8|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,8,6,0,0,1,Worst Point +ve,-0.012
174900_1_PxVar|10|15|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.007535197303192596
174900_1_PxVar|10|8|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,-0.003084014524713584
174900_1_MaxLocDiff|10|15|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,15,6,0,0,1,Worst Point +ve,0.013
174900_1_MaxLocDiff|10|8|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,8,6,0,0,1,Worst Point +ve,0.017
412701_1_PxVar|10|15|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.008000000000000007
412701_1_PxVar|10|8|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,-0.01061571125265386
412701_1_MinLocDiff|10|15|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,MinLocDiff,10,15,6,0,0,1,Worst Point -ve,-0.01
412701_1_MinLocDiff|10|8|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,MinLocDiff,10,8,6,0,0,1,Worst Point -ve,-0.013
134312_1_PxVar|10|15|6|0|0|1,134312_1,134312,Grotesque German Pinscher,,,,,2013-04-03,Healthy Crocodile,Next Stellers Sea Cow,Accurate Horn Shark,Unhappy Aardvark,2.0,p,p,Pricey Bison,,,1.002,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,0.008224479922593083
134312_1_PxVar|10|8|6|0|0|1,134312_1,134312,Grotesque German Pinscher,,,,,2013-04-03,Healthy Crocodile,Next Stellers Sea Cow,Accurate Horn Shark,Unhappy Aardvark,2.0,p,p,Pricey Bison,,,1.002,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,0.002009377093101066
